date,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,inventory,finished_goods,work_in_process,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,ticker,treasury_shares_number,current_capital_lease_obligation,other_current_borrowings,commercial_paper,non_current_deferred_assets,non_current_deferred_taxes_assets,other_investments,investmentin_financial_assets,available_for_sale_securities,other_receivables,minority_interest,preferred_stock,derivative_product_liabilities,construction_in_progress,prepaid_assets,treasury_stock,additional_paid_in_capital,current_accrued_expenses,inventories_adjustments_allowances,other_inventories,investments_in_other_ventures_under_equity_method,receivables_adjustments_allowances,loans_receivable,employee_benefits,current_provisions,interest_payable,other_payable,non_current_prepaid_assets,preferred_securities_outside_stock_equity,financial_assets,trading_securities,assets_held_for_sale_current,dueto_related_parties_current,duefrom_related_parties_current,non_current_accrued_expenses,long_term_provisions,line_of_credit,taxes_receivable,preferred_shares_number,preferred_stock_equity,held_to_maturity_securities,cash_cash_equivalents_and_federal_funds_sold,liabilities_heldfor_sale_non_current,current_deferred_assets,financial_assets_designatedas_fair_value_through_profitor_loss_total,restricted_cash,other_equity_interest,non_current_pension_and_other_postretirement_benefit_plans,dividends_payable,foreign_currency_translation_adjustments,minimum_pension_liabilities,unrealized_gain_loss,non_current_note_receivables,non_current_accounts_receivable,defined_pension_benefit
2024-06-30,7434000000.0,7434000000.0,33315000000.0,67127000000.0,121660000000.0,320107000000.0,34448000000.0,121660000000.0,15497000000.0,268477000000.0,311165000000.0,268477000000.0,268477000000.0,-5590000000.0,-5590000000.0,173144000000.0,100923000000.0,100923000000.0,243686000000.0,118400000000.0,27064000000.0,27931000000.0,5220000000.0,2602000000.0,2618000000.0,58185000000.0,15497000000.0,42688000000.0,125286000000.0,19185000000.0,57582000000.0,57582000000.0,8942000000.0,8942000000.0,12564000000.0,27013000000.0,27013000000.0,5017000000.0,5017000000.0,21996000000.0,512163000000.0,352429000000.0,36460000000.0,14600000000.0,14600000000.0,146817000000.0,27597000000.0,119220000000.0,154552000000.0,-76421000000.0,230973000000.0,9594000000.0,18961000000.0,100312000000.0,93943000000.0,8163000000.0,0.0,159734000000.0,26021000000.0,12000000.0,1246000000.0,845000000.0,7000000.0,394000000.0,56924000000.0,56924000000.0,-830000000.0,57754000000.0,75531000000.0,57216000000.0,18315000000.0,6744000000.0,11571000000.0,MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,7432000000.0,7432000000.0,12533000000.0,59965000000.0,128971000000.0,253460000000.0,80108000000.0,128971000000.0,12728000000.0,206223000000.0,248213000000.0,206223000000.0,206223000000.0,-6343000000.0,-6343000000.0,118848000000.0,93718000000.0,93718000000.0,205753000000.0,101604000000.0,17981000000.0,25560000000.0,3345000000.0,2912000000.0,433000000.0,54718000000.0,12728000000.0,41990000000.0,104149000000.0,14745000000.0,50901000000.0,50901000000.0,5247000000.0,5247000000.0,11009000000.0,22247000000.0,22247000000.0,4152000000.0,4152000000.0,18095000000.0,411976000000.0,227719000000.0,30601000000.0,9879000000.0,9879000000.0,77252000000.0,9366000000.0,67886000000.0,109987000000.0,-68251000000.0,178238000000.0,8537000000.0,14346000000.0,81207000000.0,68465000000.0,5683000000.0,0.0,184257000000.0,21807000000.0,6000000.0,2500000000.0,1768000000.0,23000000.0,709000000.0,48688000000.0,48688000000.0,-650000000.0,49338000000.0,111256000000.0,76552000000.0,34704000000.0,26226000000.0,8478000000.0,MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,7464000000.0,7464000000.0,35850000000.0,61270000000.0,87720000000.0,216323000000.0,74602000000.0,87720000000.0,11489000000.0,166542000000.0,213574000000.0,166542000000.0,166542000000.0,-4678000000.0,-4678000000.0,84281000000.0,86939000000.0,86939000000.0,198298000000.0,103216000000.0,15526000000.0,26069000000.0,3100000000.0,2870000000.0,230000000.0,58521000000.0,11489000000.0,47032000000.0,95082000000.0,13067000000.0,45538000000.0,45538000000.0,2749000000.0,2749000000.0,10661000000.0,23067000000.0,23067000000.0,4067000000.0,4067000000.0,19000000000.0,364840000000.0,195156000000.0,21897000000.0,6891000000.0,6891000000.0,78822000000.0,11298000000.0,67524000000.0,87546000000.0,-59660000000.0,147206000000.0,7819000000.0,13148000000.0,66491000000.0,55014000000.0,4734000000.0,0.0,169684000000.0,16924000000.0,8000000.0,3742000000.0,2516000000.0,82000000.0,1144000000.0,44261000000.0,44261000000.0,-633000000.0,44894000000.0,104749000000.0,90818000000.0,13931000000.0,5673000000.0,8258000000.0,MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,9629000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,1822000000.0,1822000000.0,57055000000.0,83111000000.0,83111000000.0,191791000000.0,103134000000.0,13427000000.0,27190000000.0,2814000000.0,2616000000.0,198000000.0,59703000000.0,9629000000.0,50074000000.0,88657000000.0,11666000000.0,41525000000.0,41525000000.0,8072000000.0,8072000000.0,10057000000.0,17337000000.0,17337000000.0,2174000000.0,2174000000.0,15163000000.0,333779000000.0,149373000000.0,15075000000.0,5984000000.0,5984000000.0,57511000000.0,7800000000.0,49711000000.0,70803000000.0,-51351000000.0,122154000000.0,6884000000.0,11088000000.0,56594000000.0,43928000000.0,3660000000.0,0.0,184406000000.0,13393000000.0,78000000.0,2636000000.0,1367000000.0,79000000.0,1190000000.0,38043000000.0,38043000000.0,-751000000.0,38794000000.0,130256000000.0,116032000000.0,14224000000.0,6952000000.0,7272000000.0,MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,15116786000.0,15116786000.0,76686000000.0,106629000000.0,56950000000.0,163579000000.0,-23405000000.0,56950000000.0,,56950000000.0,142700000000.0,56950000000.0,56950000000.0,-7172000000.0,-7172000000.0,-19154000000.0,83276000000.0,83276000000.0,308030000000.0,131638000000.0,36634000000.0,9254000000.0,,,,85750000000.0,,85750000000.0,176392000000.0,51703000000.0,8249000000.0,8249000000.0,20879000000.0,20879000000.0,,95561000000.0,95561000000.0,26601000000.0,26601000000.0,68960000000.0,364980000000.0,211993000000.0,55335000000.0,91479000000.0,,,,,45680000000.0,-73448000000.0,119128000000.0,14233000000.0,,80205000000.0,,24690000000.0,0.0,152987000000.0,14287000000.0,,7286000000.0,,,,66243000000.0,33410000000.0,,,65171000000.0,35228000000.0,29943000000.0,2744000000.0,27199000000.0,AAPL,,,10912000000.0,9967000000.0,19499000000.0,19499000000.0,,91479000000.0,91479000000.0,32833000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,15550061000.0,15550061000.0,81123000000.0,111088000000.0,62146000000.0,173234000000.0,-1742000000.0,62146000000.0,12842000000.0,62146000000.0,157427000000.0,62146000000.0,62146000000.0,-11452000000.0,-11452000000.0,-214000000.0,73812000000.0,73812000000.0,290437000000.0,145129000000.0,34391000000.0,15457000000.0,,,,95281000000.0,11267000000.0,95281000000.0,145308000000.0,50010000000.0,8061000000.0,8061000000.0,15807000000.0,15807000000.0,,71430000000.0,71430000000.0,8819000000.0,8819000000.0,62611000000.0,352583000000.0,209017000000.0,46906000000.0,100544000000.0,,,,,43715000000.0,-70884000000.0,114599000000.0,12839000000.0,10661000000.0,78314000000.0,,23446000000.0,0.0,143566000000.0,14695000000.0,,6331000000.0,,,,60985000000.0,29508000000.0,,,61555000000.0,31590000000.0,29965000000.0,1606000000.0,28359000000.0,AAPL,0.0,1575000000.0,9822000000.0,5985000000.0,17852000000.0,17852000000.0,,100544000000.0,100544000000.0,31477000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,15943425000.0,15943425000.0,96423000000.0,132480000000.0,50672000000.0,170741000000.0,-18577000000.0,50672000000.0,12411000000.0,50672000000.0,149631000000.0,50672000000.0,50672000000.0,-11109000000.0,-11109000000.0,-3068000000.0,64849000000.0,64849000000.0,302083000000.0,148101000000.0,21737000000.0,16657000000.0,,,,109707000000.0,10748000000.0,98959000000.0,153982000000.0,52630000000.0,7912000000.0,7912000000.0,22773000000.0,21110000000.0,,70667000000.0,70667000000.0,6552000000.0,6552000000.0,64115000000.0,352755000000.0,217350000000.0,28636000000.0,120805000000.0,,,,,52534000000.0,-72340000000.0,124874000000.0,11271000000.0,10417000000.0,81060000000.0,,22126000000.0,0.0,135405000000.0,21223000000.0,,4946000000.0,,,,60932000000.0,28184000000.0,,,48304000000.0,24658000000.0,23646000000.0,5100000000.0,18546000000.0,AAPL,,1663000000.0,11128000000.0,9982000000.0,15375000000.0,15375000000.0,120805000000.0,120805000000.0,120805000000.0,32748000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,16426786000.0,16426786000.0,89779000000.0,136522000000.0,63090000000.0,187809000000.0,9355000000.0,63090000000.0,11803000000.0,63090000000.0,172196000000.0,63090000000.0,63090000000.0,163000000.0,163000000.0,5562000000.0,57365000000.0,57365000000.0,287912000000.0,162431000000.0,18361000000.0,24689000000.0,,,,119381000000.0,10275000000.0,109106000000.0,125481000000.0,45965000000.0,7612000000.0,7612000000.0,17141000000.0,15613000000.0,,54763000000.0,54763000000.0,,,54763000000.0,351002000000.0,216166000000.0,38762000000.0,127877000000.0,,,,,49527000000.0,-70283000000.0,119810000000.0,11023000000.0,10087000000.0,78659000000.0,,20041000000.0,0.0,134836000000.0,14111000000.0,,6580000000.0,,,,51506000000.0,26278000000.0,,,62639000000.0,27699000000.0,34940000000.0,17635000000.0,17305000000.0,AAPL,,1528000000.0,9613000000.0,6000000000.0,,,127877000000.0,127877000000.0,127877000000.0,25228000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,,,,,,,,,9842000000.0,,,,,,,,,,,,,,,,,,8382000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,8570000000.0,,,,,,,,,,,,,,,,,,,,,AAPL,,1460000000.0,,,,,100887000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,2755000000.0,2755000000.0,76415000000.0,86869000000.0,-60416000000.0,95573000000.0,-8990000000.0,-60416000000.0,,8704000000.0,84968000000.0,9239000000.0,8704000000.0,-1432000000.0,-1432000000.0,-22628000000.0,32764000000.0,32764000000.0,131737000000.0,100193000000.0,9420000000.0,10817000000.0,3692000000.0,,3692000000.0,76264000000.0,,76264000000.0,31544000000.0,7353000000.0,9313000000.0,9313000000.0,10605000000.0,10605000000.0,1916000000.0,2357000000.0,2357000000.0,,,2357000000.0,140976000000.0,118422000000.0,15493000000.0,,,69120000000.0,6890000000.0,62230000000.0,21536000000.0,-13282000000.0,34818000000.0,,,21452000000.0,6493000000.0,1239000000.0,0.0,22554000000.0,4019000000.0,,,,,,7874000000.0,7874000000.0,-485000000.0,8359000000.0,10661000000.0,207000000.0,10454000000.0,,,ORCL,,,,,12273000000.0,12273000000.0,,,,,535000000.0,0.0,,5634000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
